original_name,current_name
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macao,Macao
Madagascar,Madagascar
Malawi,Malawi
Nyasaland,Malawi
Malaya,Malaysia
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Mali Federation,Mali
Malta,Malta
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mexico
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Burma,Myanmar
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
North Korea,North Korea
North Macedonia,North Macedonia
North Vietnam,North Vietnam
North Yemen,North Yemen
Northern Cyprus,Northern Cyprus
Northern Ireland,Northern Ireland
Northern Mariana Islands,Northern Mariana Islands
Norway,Norway
Macedonia,North Macedonia
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Palestine,Palestine
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Reunion,Reunion
Romania,Romania
Soviet Union,Russia
Russia,Russia
Comm of Indep States,Russia
Rwanda,Rwanda
Saar,Saar
Saint Barthelemy,Saint Barthelemy
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Kitts,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Martin,Saint Martin
Saint Pierre and Miquelon,Saint Pierre and Miquelon
Samoa,Samoa
San Marino,San Marino
São Tomé and Príncipe,São Tomé and Príncipe
Saudi Arabia,Saudi Arabia
Scotland,Scotland
Senegal,Senegal
Yugoslavia,Serbia
Serbia,Serbia
Serbia and Montenegro,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Eustatius,Sint Eustatius
Sint Maarten,Sint Maarten
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
Korea,South Korea
South Korea,South Korea
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Ceylon,Sri Lanka
St Vincent & Grenadines,St Vincent & Grenadines
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Tahiti,Tahiti
Taiwan,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Tanganyika,Tanzania
Thailand,Thailand
Tibet,Tibet
Togo,Togo
French Togoland,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United States,United States
Uruguay,Uruguay
US Virgin Islands,US Virgin Islands
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
New Hebrides,Vanuatu
Venezuela,Venezuela
South Vietnam,Vietnam
Vietnam,Vietnam
Wales,Wales
Wallis and Futuna,Wallis and Futuna
Western Samoa,Western Samoa
Yemen,Yemen
South Yemen,Yemen
Aden,Yemen
Zambia,Zambia
Northern Rhodesia,Zambia
Zanzibar,Zanzibar
Southern Rhodesia,Zimbabwe
Zimbabwe,Zimbabwe
Rhodesia,Zimbabwe
